index,Term,LoanStatus,BorrowerRate,ProsperRating (Alpha),ListingCategory (numeric),EmploymentStatus,DelinquenciesLast7Years,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,LoanOriginationDate,Recommendations,Investors
15,36,Defaulted,0.3177,HR,Other,Other,0.0,5500.0,0.0,4000,2012-04-19,0,10
23,36,Defaulted,0.2419,D,Other,Employed,0.0,2500.0,0.0,2000,2013-04-26,0,30
26,60,Completed,0.2809,E,Debt Consolidation,Employed,0.0,3885.916667,0.0,4000,2013-02-21,0,37
27,36,Completed,0.092,A,Debt Consolidation,Full-time,0.0,6666.666667,0.0,4000,2010-06-24,0,121
30,36,Completed,0.0999,A,Other,Employed,10.0,3750.0,0.0,10000,2012-02-07,0,30
33,36,Completed,0.0785,AA,Other,Employed,0.0,13083.333333,1.0,16000,2010-10-26,0,326
57,36,Defaulted,0.2552,D,Debt Consolidation,Employed,0.0,9166.666667,0.0,2000,2012-01-20,0,2
67,12,Completed,0.2669,E,Debt Consolidation,Employed,0.0,4777.0,1.0,3000,2011-06-27,0,32
72,36,Completed,0.2599,D,Other,Employed,1.0,8333.333333,0.0,4500,2011-05-27,0,49
74,36,Defaulted,0.3199,E,Other,Employed,5.0,5314.25,0.0,2500,2011-03-16,0,50
75,36,Defaulted,0.2859,E,Other,Employed,0.0,4750.0,0.0,4000,2013-07-01,0,42
77,36,Completed,0.1099,B,Auto,Full-time,0.0,6466.666667,1.0,5600,2011-02-24,0,114
83,36,Defaulted,0.2958,E,Other,Employed,3.0,3250.0,0.0,4000,2012-06-08,0,11
87,36,Completed,0.2999,E,Debt Consolidation,Employed,30.0,3333.333333,1.0,4000,2012-06-01,0,35
88,36,Completed,0.3199,HR,Other,Employed,0.0,6250.0,0.0,4000,2011-11-18,0,48
91,36,Completed,0.322,E,Debt Consolidation,Employed,0.0,2250.0,0.0,3500,2010-12-20,0,54
93,60,Defaulted,0.2489,C,Other,Employed,0.0,5416.666667,0.0,7000,2012-06-13,0,152
100,36,Defaulted,0.3134,HR,Other,Not employed,0.0,0.0,1.0,4000,2013-01-30,0,73
102,36,Completed,0.1338,A,Debt Consolidation,Full-time,1.0,15000.0,1.0,10000,2009-09-15,0,293
103,36,Defaulted,0.2287,D,Business,Self-employed,0.0,5000.0,1.0,15000,2012-04-19,0,21
105,36,Defaulted,0.2699,D,Auto,Employed,7.0,2666.666667,0.0,2000,2011-08-31,0,27
107,36,Defaulted,0.3177,HR,Debt Consolidation,Employed,0.0,2833.333333,0.0,4000,2012-04-23,0,13
109,36,Completed,0.1234,C,Debt Consolidation,Full-time,0.0,5833.333333,1.0,2000,2010-01-20,0,164
110,36,Completed,0.31,HR,Other,Full-time,0.0,4666.666667,1.0,3000,2010-11-30,0,80
112,36,Defaulted,0.3177,HR,Debt Consolidation,Employed,0.0,2583.333333,0.0,4000,2012-04-17,0,25
130,60,Completed,0.2225,D,Home Improvement,Employed,4.0,4833.333333,0.0,10000,2013-09-13,0,1
138,36,Defaulted,0.2999,E,Auto,Employed,23.0,3750.0,1.0,3000,2012-03-21,0,31
140,36,Completed,0.1009,A,Business,Full-time,0.0,4833.333333,0.0,5000,2009-10-20,1,255
147,36,Completed,0.0712,AA,Auto,Full-time,0.0,4169.333333,1.0,2200,2009-09-22,0,132
155,60,Completed,0.183,B,Business,Employed,0.0,6333.333333,1.0,15000,2012-04-30,0,149
157,36,Defaulted,0.3177,HR,Business,Employed,21.0,2500.0,0.0,4000,2012-09-14,0,22
